DBN,School,Year,Total Enrollment,Num_PK,Num_K,Num_G1,Num_G2,Num_G3,Num_G4,Num_G5,Num_G6,Num_G7,Num_G8,Num_G9,Num_G10,Num_G11,Num_G12,Female,Male,Asian,Black,Hispanic,Multiple,White,Disability,ELL,Poverty,Need_Index
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,0.459016383,0.540983617,0.043715846,0.355191261,0.584699452,0.005464481,0.010928961,0.349726766,0.092896178,0.92349726,0.92992115
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,0.471590906,0.528409064,0.051136363,0.323863626,0.596590936,0.017045455,0.011363637,0.340909094,0.090909094,0.846590936,0.888512611
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,0.466292143,0.533707857,0.078651689,0.286516845,0.589887619,0.02247191,0.02247191,0.286516845,0.067415729,0.853932559,0.882353961
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,0.521052659,0.478947371,0.105263159,0.273684204,0.578947365,0.010526316,0.031578947,0.257894725,0.042105265,0.847368419,0.889605284
01M015,P.S. 015 Roberto Clemente,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,0.488505751,0.511494279,0.137931034,0.275862068,0.545976996,0.005747126,0.034482758,0.218390808,0.045977011,0.833333313,0.879787385
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,0.48888889,0.51111114,0.111111112,0.174074069,0.58518517,0.029629629,0.100000001,0.303703696,0.06666667,0.740740716,0.605174482
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,0.462962955,0.537037015,0.100000001,0.203703701,0.625925899,0.011111111,0.059259258,0.303703696,0.048148148,0.803703725,0.624955833
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,0.468634695,0.531365335,0.088560887,0.188191876,0.664206624,0.003690037,0.055350553,0.324723244,0.033210333,0.763837636,0.578118086
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,0.443579763,0.556420207,0.089494161,0.190661475,0.645914376,0.011673152,0.062256809,0.350194544,0.031128405,0.770428002,0.678606987
01M019,P.S. 019 Asher Levy,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,0.457831323,0.542168677,0.056224901,0.208835348,0.626506031,0.036144577,0.072289154,0.369477898,0.032128513,0.722891569,0.668020248
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,0.475513428,0.524486601,0.364928901,0.083728276,0.48815167,0.023696683,0.03949447,0.227488145,0.189573467,0.649289072,0.718137026
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,0.476764202,0.523235798,0.351118773,0.079173841,0.492254734,0.036144577,0.04130809,0.211703956,0.151463002,0.607573152,0.674136877
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,0.490740746,0.509259284,0.32407406,0.096296296,0.48888889,0.04074074,0.050000001,0.214814812,0.172222227,0.583333313,0.676850021
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,0.490945667,0.509054303,0.295774639,0.102615692,0.531187117,0.038229376,0.032193158,0.237424552,0.173038229,0.736418486,0.799963772
01M020,P.S. 020 Anna Silver,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,0.496881485,0.503118515,0.286902279,0.137214139,0.496881485,0.033264033,0.045738045,0.239085242,0.130977124,0.65696466,0.737999976
01M034,P.S. 034 Franklin D. Roosevelt,2014-15,395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,0.503797472,0.496202528,0.06329114,0.278481007,0.620253146,0.002531646,0.035443038,0.301265836,0.065822788,0.964556932,0.855807304
01M034,P.S. 034 Franklin D. Roosevelt,2015-16,394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,0.507614195,0.492385775,0.04568528,0.286802024,0.631979704,0,0.035532996,0.309644669,0.073604062,0.974619269,0.855577886
01M034,P.S. 034 Franklin D. Roosevelt,2016-17,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,0.485714287,0.514285743,0.054285713,0.291428566,0.617142856,0.005714286,0.031428572,0.371428579,0.077142857,0.994285703,0.862362862
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,0.45045045,0.54954952,0.033033032,0.318318307,0.612612605,0.009009009,0.027027028,0.372372359,0.075075075,0.978978992,0.936657667
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,17,26,20,16,21,43,40,39,44,39,0,0,0,0,0.475409836,0.524590135,0.026229508,0.334426224,0.596721292,0.013114754,0.029508196,0.373770505,0.072131149,0.98688525,0.943914771
01M063,The STAR Academy - P.S.63,2014-15,199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,0.492462307,0.507537663,0.070351757,0.206030145,0.623115599,0,0.100502513,0.341708541,0.035175879,0.834170878,0.693153739
01M063,The STAR Academy - P.S.63,2015-16,203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,0.492610842,0.507389188,0.044334974,0.197044328,0.645320177,0.009852217,0.103448279,0.320197046,0.029556651,0.847290635,0.70492816
