FISCAL_YEAR,LOCATION_CODE,GEOGRAPHICAL_DISTRICT_CODE,LOCATION_NAME,MANAGED_BY_NAME,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,LONGITUDE,LATITUDE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME
2019,C101,2,Office Of Intergovernment Affairs,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K001,15,P.S. 001 The Bergen,DOE,K001,309 47 STREET,NY,40.648959,-74.01142,307,38,8000,3007550022,BK32,Sunset Park West
2019,K002,17,Parkside Preparatory Academy,DOE,K002,655 PARKSIDE AVENUE,NY,40.656423,-73.951575,309,40,80200,3050500051,BK60,Prospect Lefferts Gardens-Wingate
2019,K003,13,P.S. 003 The Bedford Village,DOE,K003,50 JEFFERSON AVENUE,NY,40.682311,-73.955219,303,36,22700,3019980001,BK69,Clinton Hill
2019,K004,19,P.S. K004,DOE,K843,530 STANLEY AVENUE,NY,40.656599,-73.888024,305,42,110400,3043690001,BK82,East New York
2019,K005,16,P.S. 005 Dr. Ronald McNair,DOE,K005,820 HANCOCK STREET,NY,40.685241,-73.92197,303,41,37700,3014900001,BK35,Stuyvesant Heights
2019,K006,17,Norma Adams Clemons Academy,DOE,K006,43 SNYDER AVENUE,NY,40.648973,-73.956279,314,40,79400,3051030079,BK95,Erasmus
2019,K007,19,P.S. 007 Abraham Lincoln,DOE,K007,858 JAMAICA AVENUE,NY,40.689213,-73.872983,305,37,118201,3041060039,BK83,Cypress Hills-City Line
2019,K008,13,P.S. 008 Robert Fulton,DOE,K008,37 HICKS STREET,NY,40.700709,-73.992841,302,33,100,3002110001,BK09,Brooklyn Heights-Cobble Hill
2019,K009,13,P.S. 009 Teunis G. Bergen,DOE,K009,80 UNDERHILL AVENUE,NY,40.678554,-73.966333,308,35,20500,3011450026,BK64,Prospect Heights
2019,K00D,2,Deputy Chancellor - Operations,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K00M,2,DEP CHANCELLOR FOR T&L,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K00Q,2,Office Strategic Partnerships,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K00X,2,Legal Svcs. & Labor Rel.,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K010,15,"Magnet School of Math, Science and Design Technolo",DOE,K010,511 7 AVENUE,NY,40.660912,-73.985946,307,38,14900,3008690001,BK37,Park Slope-Gowanus
2019,K011,13,P.S. 011 Purvis J. Behan,DOE,K011,419 WAVERLY AVENUE,NY,40.685896,-73.96589,302,35,19900,3019620010,BK69,Clinton Hill
2019,K012,23,Dr. Jacqueline Peek-Davis School,DOE,K012,430 HOWARD AVENUE,NY,40.673124,-73.920095,316,41,36300,3014570032,BK79,Ocean Hill
2019,K013,19,P.S. 013 Roberto Clemente,DOE,K013,557 PENNSYLVANIA AVENUE,NY,40.664067,-73.893328,305,42,112600,3038230001,BK85,East New York (Pennsylvania Ave)
2019,K014,22,J.H.S. 014 Shell Bank,DOE,K014,2424 BATCHELDER STREET,NY,40.593232,-73.938107,315,48,59600,3074240001,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K015,15,P.S. 015 Patrick F. Daly,DOE,K015,71 SULLIVAN STREET,NY,40.677085,-74.011864,306,38,5300,3005660001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K016,14,P.S. 016 Leonard Dunkly,DOE,K016,157 WILSON STREET,NY,40.706069,-73.962049,301,33,53500,3021770001,BK72,Williamsburg
2019,K017,14,P.S. 017 Henry D. Woodworth,DOE,K017,208 NORTH  5 STREET,NY,40.715268,-73.9573,301,34,51900,3023450001,BK73,North Side-South Side
2019,K018,14,P.S. 018 Edward Bush,DOE,K018,101 MAUJER STREET,NY,40.71088,-73.946695,301,34,50300,3027870001,BK90,East Williamsburg
2019,K01C,2,Deputy Chancellor Of Finance & Administration,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K020,13,P.S. 020 Clinton Hill,DOE,K020,225 ADELPHI STREET,NY,40.690742,-73.970896,302,35,18300,3020910003,BK68,Fort Greene
2019,K021,16,P.S. 021 Crispus Attucks,DOE,K021,180 CHAUNCEY STREET,NY,40.68035,-73.926673,303,36,38100,3016920017,BK61,Crown Heights North
2019,K023,14,P.S. 023 Carter G. Woodson,DOE,K023,545 WILLOUGHBY AVENUE,NY,40.69447,-73.947256,303,36,25901,3017590013,BK75,Bedford
2019,K024,15,P.S. 024,DOE,K024,427 38 STREET,NY,40.652832,-74.004533,307,38,8400,3007010001,BK32,Sunset Park West
2019,K025,16,P.S. 025 Eubie Blake School,DOE,K025,787 LAFAYETTE AVENUE,NY,40.691472,-73.940749,303,36,28100,3017870014,BK35,Stuyvesant Heights
2019,K026,16,P.S. 026 Jesse Owens,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K026,16,P.S. 026 Jesse Owens,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K028,16,P.S. 028 The Warren Prep Academy,DOE,K028,1001 HERKIMER STREET,NY,40.678238,-73.919847,303,41,30100,3015480019,BK79,Ocean Hill
2019,K029,15,P.S. 029 John M. Harrigan,DOE,K029,425 HENRY STREET,NY,40.686843,-73.997447,306,39,4500,3003110001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K030,20,P.S./I.S. 30 Mary White Ovington,DOE,K331,7002 4TH AVENUE,NY,40.633598,-74.02395,310,43,6800,3058910048,BK31,Bay Ridge
2019,K031,14,P.S. 031 Samuel F. Dupont,DOE,K031,75 MESEROLE AVENUE,NY,40.72697,-73.954139,301,33,56100,3025950001,BK76,Greenpoint
2019,K032,15,P.S. 032 Samuel Mills Sprole,DOE,K032,317 HOYT STREET,NY,40.680159,-73.991141,306,39,7500,3004370001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K034,14,P.S. 034 Oliver H. Perry,DOE,K034,131 NORMAN AVENUE,NY,40.726378,-73.949756,301,33,57300,3026220028,BK76,Greenpoint
2019,K035,16,M.S. 035 Stephen Decatur,DOE,K035,272 MACDONOUGH STREET,NY,40.681528,-73.935891,303,36,27300,3016740011,BK35,Stuyvesant Heights
2019,K036,19,P.S. 36,DOE,K857,2045 LINDEN BOULEVARD,NY,40.660465,-73.887195,305,42,110400,3043270024,BK82,East New York
2019,K037,14,Beginning with Children Charter School II,Charter,K071,215 HEYWARD STREET,NY,40.703996,-73.953304,301,33,52900,3022270001,BK72,Williamsburg
2019,K038,15,P.S. 038 The Pacific,DOE,K038,450 PACIFIC STREET,NY,40.684945,-73.982826,302,33,3900,3001910001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K039,15,P.S. 039 Henry Bristow,DOE,K039,417 6 AVENUE,NY,40.668644,-73.982909,306,39,15300,3010000001,BK37,Park Slope-Gowanus
2019,K03G,21,District 21 Superintendent Office,DOE,K043,1401 EMMONS AVENUE,NY,40.583893,-73.954047,315,48,60800,3087670026,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K03P,2,Impact Ii Program,DOE,M860,52 CHAMBERS STREET,NY,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy
2019,K040,16,P.S. 040 George W. Carver,DOE,K040,265 RALPH AVENUE,NY,40.680239,-73.921099,303,41,37900,3015180001,BK35,Stuyvesant Heights
2019,K041,23,P.S. 041 Francis White,DOE,K041,411 THATFORD AVENUE,NY,40.660455,-73.906925,316,42,91800,3036040001,BK81,Brownsville
2019,K041,23,P.S. 041 Francis White,DOE,K041,411 THATFORD AVENUE,NY,40.660455,-73.906925,316,42,91800,3036040001,BK81,Brownsville
2019,K044,13,P.S. 044 Marcus Garvey,DOE,K044,432 MONROE STREET,NY,40.686213,-73.940859,303,36,27700,3018210001,BK35,Stuyvesant Heights
2019,K045,32,P.S./I.S. 045 Horace E. Greene,DOE,K045,84 SCHAEFER STREET,NY,40.686424,-73.91043,304,37,40100,3034270011,BK78,Bushwick South
2019,K046,13,P.S. 046 Edward C. Blum,DOE,K046,100 CLERMONT AVENUE,NY,40.69453,-73.971644,302,35,18700,3020450011,BK68,Fort Greene
2019,K048,20,P.S. 048 Mapleton,DOE,K048,6015 18 AVENUE,NY,40.621481,-73.987165,312,44,24400,3055190001,BK88,Borough Park
2019,K050,14,J.H.S. 050 John D. Wells,DOE,K050,183 SOUTH  3 STREET,NY,40.711915,-73.960137,301,34,52300,3024190001,BK73,North Side-South Side
2019,K051,15,M.S. 51 William Alexander,DOE,K051,350 5 AVENUE,NY,40.672358,-73.98505,306,39,13500,3009810111,BK37,Park Slope-Gowanus
2019,K052,22,P.S. 052 Sheepshead Bay,DOE,K052,2675 EAST  29 STREET,NY,40.588372,-73.940135,315,48,60000,3074740001,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K053,15,P.S. K053,DOE,K088,544 7TH AVENUE,NY,40.660805,-73.988743,307,38,14700,3008800001,BK32,Sunset Park West
2019,K054,13,P.S. 054 Samuel C. Barnes,DOE,K054,195 SANDFORD STREET,NY,40.692616,-73.952504,303,33,24100,3017650015,BK75,Bedford
2019,K056,13,P.S. 056 Lewis H. Latimer,DOE,K056,170 GATES AVENUE,NY,40.684286,-73.960536,302,35,23100,3019830010,BK69,Clinton Hill
2019,K057,16,J.H.S. 057 Whitelaw Reid,DOE,K057,125 STUYVESANT AVENUE,NY,40.691467,-73.932254,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K058,15,P.S. 058 The Carroll,DOE,K058,330 SMITH STREET,NY,40.680379,-73.995486,306,39,7700,3004490015,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K059,14,P.S. 059 William Floyd,DOE,K059,211 THROOP AVENUE,NY,40.697619,-73.943279,303,36,28502,3017490001,BK35,Stuyvesant Heights
2019,K061,17,M.S. 061 Dr. Gladstone H. Atwell,DOE,K061,400 EMPIRE BOULEVARD,NY,40.663605,-73.949198,309,40,32900,3013160015,BK60,Prospect Lefferts Gardens-Wingate
2019,K062,20,J.H.S. 062 Ditmas,DOE,K062,700 CORTELYOU ROAD,NY,40.638087,-73.971153,312,40,49000,3053910001,BK41,Kensington-Ocean Parkway
2019,K065,19,P.S. 065,DOE,K798,696 JAMAICA AVENUE,NY,40.686534,-73.878353,305,37,117601,3041020019,BK83,Cypress Hills-City Line
2019,K066,18,P.S. 66,DOE,K066,845 EAST  96 STREET,NY,40.648749,-73.907064,318,42,97000,3081290060,BK50,Canarsie
2019,K067,13,P.S. 067 Charles A. Dorsey,DOE,K067,51 SAINT EDWARDS STREET,NY,40.695339,-73.977674,302,35,2901,3020390002,BK68,Fort Greene
2019,K068,18,I.S. 068 Isaac Bildersee,DOE,K068,956 EAST  82 STREET,NY,40.635388,-73.911215,318,46,95600,3080180001,BK50,Canarsie
2019,K069,20,P.S. 69 Vincent D. Grippo School,DOE,K069,6302 9TH AVENUE,NY,40.632392,-74.009752,310,38,12000,3057350032,BK34,Sunset Park East
2019,K069,20,P.S. 69 Vincent D. Grippo School,DOE,K069,6302 9TH AVENUE,NY,40.632392,-74.009752,310,38,12000,3057350032,BK34,Sunset Park East
2019,K071,14,Juan Morel Campos Secondary School,DOE,K071,215 HEYWARD STREET,NY,40.703996,-73.953304,301,33,52900,3022270001,BK72,Williamsburg
2019,K075,32,P.S. 075 Mayda Cortiella,DOE,K075,95 GROVE STREET,NY,40.693261,-73.921336,304,34,41900,3033140001,BK78,Bushwick South
2019,K077,13,P.S. K077,DOE,K902,62 PARK PLACE,NY,40.678809,-73.976648,306,39,12902,3009410050,BK37,Park Slope-Gowanus
2019,K078,22,J.H.S. 078 Roy H. Mann,DOE,K078,1420 EAST  68 STREET,NY,40.620537,-73.912914,318,46,69602,3083880002,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
2019,K081,16,P.S. 081 Thaddeus Stevens,DOE,K081,990 DEKALB AVENUE,NY,40.692866,-73.935123,303,36,28900,3016020019,BK35,Stuyvesant Heights
2019,K084,14,P.S. 084 Jose De Diego,DOE,K084,250 BERRY STREET,NY,40.715089,-73.963808,301,34,55100,3023910001,BK73,North Side-South Side
2019,K086,32,P.S. 086 The Irvington,DOE,K086,220 IRVING AVENUE,NY,40.700595,-73.917804,304,37,43100,3032890027,BK77,Bushwick North
2019,K088,15,J.H.S. 088 Peter Rouget,DOE,K088,544 7TH AVENUE,NY,40.660805,-73.988743,307,38,14700,3008800001,BK32,Sunset Park West
2019,K089,19,P.S. 089 Cypress Hills,DOE,K814,265 WARWICK STREET,NY,40.677707,-73.886712,305,37,117000,3039520047,BK82,East New York
2019,K090,21,P.S. 90 Edna Cohen School,DOE,K090,2840 WEST  12 STREET,NY,40.578192,-73.980387,313,47,35000,3072660040,BK23,West Brighton
